cesse	NOM	36.1
d'autant	ADV	31.8
sociologue	NOM	29.3
bal	NOM	27.2
pipe	NOM	22.5
associatif	ADJ	18.6
vieillissement	NOM	16.5
cérébral	ADJ	16.3
réchauffement	NOM	16.1
clou	NOM	14.0
marketing	NOM	13.3
volaille	NOM	12.9
nostalgie	NOM	12.5
recenser	VER	12.1
surnommer	VER	11.4
précarité	NOM	10.5
vaccin	NOM	10.5
modernité	NOM	10.4
assassinat	NOM	10.4
valoriser	VER	10.4
hectare	NOM	10.2
méditerranéen	ADJ	10.1
bactérie	NOM	10.0
balcon	NOM	9.9
cardinal	NOM	9.8
tranquillité	NOM	9.7
enfiler	VER	9.7
polir	VER	9.6
coupole	NOM	9.5
plantation	NOM	9.4
puce	NOM	9.2
noce	NOM	9.0
cognitif	ADJ	8.7
carbone	NOM	8.7
journalisme	NOM	8.6
matelas	NOM	8.6
libraire	NOM	8.6
rite	NOM	8.5
décalage	NOM	8.5
paradoxalement	ADV	8.5
centime	NOM	8.4
bruir	VER	8.4
calmement	ADV	8.3
sécher	VER	8.1
évader	VER	8.0
soja	NOM	8.0
biodiversité	NOM	8.0
abeille	NOM	8.0
affectif	ADJ	7.9
adhérent	NOM	7.9
créativité	NOM	7.8
distingué	ADJ	7.8
moustique	NOM	7.8
poignet	NOM	7.7
insecte	NOM	7.7
chapelle	NOM	7.6
parfaire	VER	7.6
label	NOM	7.6
canton	NOM	7.5
chirurgie	NOM	7.5
allée	NOM	7.4
protéine	NOM	7.4
galop	NOM	7.3
éditer	VER	7.2
molécule	NOM	7.2
fixement	ADV	7.1
vilain	ADJ	7.0
polluer	VER	7.0
terroir	NOM	7.0
trier	VER	7.0
délinquance	NOM	7.0
senior	NOM	7.0
émergence	NOM	7.0
paroi	NOM	6.9
estime	NOM	6.9
parental	ADJ	6.9
renouvelable	ADJ	6.8
loge	NOM	6.8
convoiter	VER	6.7
désagréable	ADJ	6.7
appétit	NOM	6.7
paisible	ADJ	6.7
