aujourd'hui	ADV	711.1
d'abord	ADV	318.5
d'accord	ADV	206.6
qu'	ADV	69.2
chevalier	NOM	68.4
sympa	ADJ	67.4
brun	ADJ	43.3
cheminée	NOM	38.0
terrasse	NOM	34.9
ben	ADV	33.9
copine	NOM	31.5
promenade	NOM	30.4
prof	NOM	28.7
grotte	NOM	28.7
maths	NOM	28.2
grands-parents	NOM	27.6
nouvelle	NOM	27.6
piscine	NOM	27.3
arrondissement	NOM	24.9
supermarché	NOM	21.9
salade	NOM	19.9
parking	NOM	18.7
âne	NOM	16.9
jean	NOM	15.9
décorer	VER	15.4
dessert	NOM	15.3
pull	NOM	14.7
jus	NOM	14.5
confiture	NOM	14.3
bicyclette	NOM	14.3
délicieux	ADJ	13.9
moulin	NOM	13.9
ascenseur	NOM	13.5
riz	NOM	13.4
décoration	NOM	13.3
balade	NOM	13.0
tomate	NOM	12.2
tiroir	NOM	11.9
bise	NOM	11.4
cathédrale	NOM	11.4
sapin	NOM	11.1
antiquité	NOM	10.8
préféré	ADJ	10.4
bienvenir	VER	10.1
champagne	NOM	9.3
pâté	NOM	9.3
zoé	NOM	9.3
informaticien	NOM	9.0
pyramide	NOM	8.9
foot	NOM	8.7
camping	NOM	8.6
bis	ADJ	8.6
farine	NOM	8.2
serpent	NOM	8.2
buffet	NOM	8.2
adorable	ADJ	8.1
falaise	NOM	8.0
apéritif	NOM	7.8
crêpe	NOM	7.0
boulanger	ADJ	6.7
inauguration	NOM	6.6
cantine	NOM	5.5
réveillon	NOM	5.0
blouson	NOM	5.0
pers	ADJ	3.6
mule	NOM	3.3
tartine	NOM	2.2
tommy	NOM	0.8
