corne	NOM	3.8
bruyant	ADJ	3.8
préhistorique	ADJ	3.8
répertoire	NOM	3.7
robotique	NOM	3.7
écureuil	NOM	3.7
roche	NOM	3.7
fût	NOM	3.7
littoral	NOM	3.7
orthographe	NOM	3.7
poubelle	NOM	3.7
porcelaine	NOM	3.7
mobylette	NOM	3.6
agresser	VER	3.6
champignon	NOM	3.6
halte	NOM	3.6
mesdemoiselles	NOM	3.6
périple	NOM	3.6
communion	NOM	3.6
bonté	NOM	3.5
bonhomme	NOM	3.5
déçu	ADJ	3.5
mac	NOM	3.5
propreté	NOM	3.5
pique-niquer	VER	3.5
tombée	NOM	3.5
démolir	VER	3.5
couvercle	NOM	3.5
bronze	NOM	3.4
tendrement	ADV	3.4
crayon	NOM	3.4
frite	NOM	3.4
fraîcheur	NOM	3.4
pureté	NOM	3.4
lâche	ADJ	3.4
serrure	NOM	3.4
ménestrel	NOM	3.4
lavabo	NOM	3.4
aspirateur	NOM	3.3
joyeusement	ADV	3.3
contagieux	ADJ	3.3
choquant	ADJ	3.3
bizarrement	ADV	3.3
durcir	VER	3.2
aérer	VER	3.2
stand	NOM	3.2
féminisme	NOM	3.2
moralité	NOM	3.2
colocataire	NOM	3.2
métallique	ADJ	3.1
escalade	NOM	3.1
bohémien	NOM	3.1
citadin	NOM	3.1
cinéaste	NOM	3.1
épingle	NOM	3.1
lessive	NOM	3.1
paquebot	NOM	3.1
songe	NOM	3.1
renard	NOM	3.0
tous	NOM	3.0
jambon	NOM	3.0
doctorat	NOM	3.0
brûlant	ADJ	3.0
décharge	NOM	3.0
féministe	ADJ	2.9
rêverie	NOM	2.9
prairie	NOM	2.9
patienter	VER	2.9
ferment	NOM	2.9
square	NOM	2.9
indigner	VER	2.9
débutant	ADJ	2.9
guillotine	NOM	2.8
filtre	NOM	2.8
abondant	ADJ	2.8
seau	NOM	2.8
belle-fille	NOM	2.8
bouillir	VER	2.8
faiblement	ADV	2.7
perfectionner	VER	2.7
mi-temps	NOM	2.7
flash	NOM	2.7
déprimer	VER	2.7
salir	VER	2.7
high-tech	ADJ	2.7
embrasse	NOM	2.7
magicien	NOM	2.7
pressé	ADJ	2.7
short	NOM	2.6
spacieux	ADJ	2.6
subventionner	VER	2.6
tonneau	NOM	2.6
carburer	VER	2.6
castagnettes	NOM	2.6
remarier	VER	2.6
ruisseau	NOM	2.6
camper	VER	2.6
lilas	NOM	2.5
pressant	ADJ	2.5
indemne	ADJ	2.5
amande	NOM	2.5
bourgade	NOM	2.5
rallumer	VER	2.5
celtique	ADJ	2.5
mélodie	NOM	2.5
bavard	ADJ	2.5
savoureux	ADJ	2.5
déesse	NOM	2.5
chausser	VER	2.5
surgeler	VER	2.5
carafe	NOM	2.4
fréquentation	NOM	2.4
lyonnais	ADJ	2.4
automobiliste	NOM	2.4
aventurier	NOM	2.4
solennel	ADJ	2.4
silencieusement	ADV	2.4
adoptif	ADJ	2.4
copieux	ADJ	2.4
gratter	VER	2.4
carrosse	NOM	2.4
maigrir	VER	2.3
tremblant	ADJ	2.3
tambourin	NOM	2.3
énigmatique	ADJ	2.3
secrètement	ADV	2.3
adroit	ADJ	2.3
gîte	NOM	2.2
smoking	NOM	2.2
gallo-romain	ADJ	2.2
pirogue	NOM	2.2
armure	NOM	2.2
éternité	NOM	2.2
télécommande	NOM	2.1
frire	VER	2.1
pelote	NOM	2.1
sirène	NOM	2.1
relique	NOM	2.1
plongeur	NOM	2.1
fourchette	NOM	2.0
menton	NOM	2.0
héberger	VER	2.0
mourant	ADJ	2.0
camionnette	NOM	2.0
tilleul	NOM	2.0
muscler	VER	2.0
soigné	ADJ	2.0
papi	NOM	2.0
bourgeoisie	NOM	2.0
laine	NOM	1.9
moustache	NOM	1.9
dernièrement	ADV	1.9
gratitude	NOM	1.9
cirer	VER	1.9
bouclier	NOM	1.9
gelée	NOM	1.9
volcan	NOM	1.9
poire	NOM	1.9
monastère	NOM	1.9
brume	NOM	1.9
celte	ADJ	1.9
stupéfaction	NOM	1.9
caillou	NOM	1.8
reggae	NOM	1.8
typiquement	ADV	1.8
résidu	NOM	1.8
centraliser	VER	1.8
déménagement	NOM	1.8
épicerie	NOM	1.8
menteur	NOM	1.7
pop	ADJ	1.7
synthétique	ADJ	1.7
édifier	VER	1.7
fascination	NOM	1.7
courageusement	ADV	1.7
dominical	ADJ	1.6
